dateCreated,hours,sessions,quotes,transactions,sessionConversion,quoteConversion
06/10/2024,12,356,161,14,0.0393,0.087
06/10/2024,11,355,178,22,0.062,0.1236
06/10/2024,10,341,146,18,0.0528,0.1233
06/10/2024,9,267,87,8,0.03,0.092
06/10/2024,8,237,79,11,0.0464,0.1392
06/10/2024,7,310,130,4,0.0129,0.0308
06/10/2024,6,182,49,2,0.011,0.0408
06/10/2024,5,154,19,1,0.0065,0.0526
06/10/2024,4,134,11,1,0.0075,0.0909
06/10/2024,3,132,7,0,0,0
06/10/2024,2,149,13,0,0,0
06/10/2024,1,172,28,0,0,0
06/10/2024,0,250,36,1,0.004,0.0278
07/10/2024,23,243,76,7,0.0288,0.0921
07/10/2024,22,308,134,12,0.039,0.0896
07/10/2024,21,408,160,33,0.0809,0.2063
07/10/2024,20,450,222,34,0.0756,0.1532
07/10/2024,19,437,192,31,0.0709,0.1615
07/10/2024,18,524,207,26,0.0496,0.1256
07/10/2024,17,621,262,50,0.0805,0.1908
07/10/2024,16,697,314,60,0.0861,0.1911
07/10/2024,15,760,419,82,0.1079,0.1957
07/10/2024,14,687,340,67,0.0975,0.1971
07/10/2024,13,704,339,54,0.0767,0.1593
07/10/2024,12,751,403,86,0.1145,0.2134
07/10/2024,11,841,361,89,0.1058,0.2465
07/10/2024,10,739,392,77,0.1042,0.1964
07/10/2024,9,541,275,55,0.1017,0.2
07/10/2024,8,454,179,34,0.0749,0.1899
07/10/2024,7,373,171,9,0.0241,0.0526
07/10/2024,6,219,84,3,0.0137,0.0357
07/10/2024,5,155,15,0,0,0
07/10/2024,4,155,21,1,0.0065,0.0476
07/10/2024,3,154,21,2,0.013,0.0952
07/10/2024,2,155,21,3,0.0194,0.1429
07/10/2024,1,179,34,3,0.0168,0.0882
07/10/2024,0,159,30,3,0.0189,0.1
08/10/2024,23,486,95,11,0.0226,0.1158
08/10/2024,22,591,131,12,0.0203,0.0916
08/10/2024,21,645,158,21,0.0326,0.1329
08/10/2024,20,796,225,33,0.0415,0.1467
08/10/2024,19,555,203,26,0.0468,0.1281
08/10/2024,18,708,212,39,0.0551,0.184
08/10/2024,17,618,241,50,0.0809,0.2075
08/10/2024,16,821,303,61,0.0743,0.2013
08/10/2024,15,1086,332,69,0.0635,0.2078
08/10/2024,14,751,371,83,0.1105,0.2237
08/10/2024,13,613,336,57,0.093,0.1696
08/10/2024,12,694,363,58,0.0836,0.1598
08/10/2024,11,870,456,89,0.1023,0.1952
08/10/2024,10,647,365,71,0.1097,0.1945
08/10/2024,9,523,291,43,0.0822,0.1478
08/10/2024,8,354,155,27,0.0763,0.1742
08/10/2024,7,301,132,5,0.0166,0.0379
08/10/2024,6,166,76,5,0.0301,0.0658
08/10/2024,5,119,34,0,0,0
08/10/2024,4,104,23,5,0.0481,0.2174
08/10/2024,3,93,12,1,0.0108,0.0833
08/10/2024,2,970,898,1,0.001,0.0011
08/10/2024,1,125,35,4,0.032,0.1143
08/10/2024,0,175,56,3,0.0171,0.0536
09/10/2024,23,195,71,7,0.0359,0.0986
09/10/2024,22,253,123,13,0.0514,0.1057
09/10/2024,21,310,151,23,0.0742,0.1523
09/10/2024,20,337,163,18,0.0534,0.1104
09/10/2024,19,379,178,25,0.066,0.1404
09/10/2024,18,406,222,33,0.0813,0.1486
09/10/2024,17,479,226,48,0.1002,0.2124
09/10/2024,16,559,293,55,0.0984,0.1877
09/10/2024,15,571,331,64,0.1121,0.1934
09/10/2024,14,624,360,75,0.1202,0.2083
09/10/2024,13,610,338,71,0.1164,0.2101
09/10/2024,12,630,344,61,0.0968,0.1773
09/10/2024,11,654,354,84,0.1284,0.2373
09/10/2024,10,604,333,69,0.1142,0.2072
09/10/2024,9,427,222,42,0.0984,0.1892
09/10/2024,8,390,171,31,0.0795,0.1813
09/10/2024,7,306,148,11,0.0359,0.0743
09/10/2024,6,175,86,6,0.0343,0.0698
09/10/2024,5,107,29,5,0.0467,0.1724
09/10/2024,4,113,27,1,0.0088,0.037
09/10/2024,3,111,27,2,0.018,0.0741
09/10/2024,2,89,19,1,0.0112,0.0526
09/10/2024,1,120,35,0,0,0
09/10/2024,0,148,51,3,0.0203,0.0588
10/10/2024,23,257,73,6,0.0233,0.0822
10/10/2024,22,304,130,18,0.0592,0.1385
10/10/2024,21,326,123,18,0.0552,0.1463
10/10/2024,20,435,153,14,0.0322,0.0915
10/10/2024,19,463,149,16,0.0346,0.1074
10/10/2024,18,474,164,34,0.0717,0.2073
10/10/2024,17,471,213,32,0.0679,0.1502
10/10/2024,16,563,290,48,0.0853,0.1655
10/10/2024,15,653,308,69,0.1057,0.224
10/10/2024,14,636,312,58,0.0912,0.1859
10/10/2024,13,629,290,47,0.0747,0.1621
10/10/2024,12,715,324,81,0.1133,0.25
10/10/2024,11,1071,376,75,0.07,0.1995
10/10/2024,10,594,307,67,0.1128,0.2182
10/10/2024,9,550,244,46,0.0836,0.1885
10/10/2024,8,385,142,31,0.0805,0.2183
10/10/2024,7,342,136,10,0.0292,0.0735
10/10/2024,6,204,80,5,0.0245,0.0625
10/10/2024,5,164,20,2,0.0122,0.1
10/10/2024,4,158,19,0,0,0
10/10/2024,3,147,14,1,0.0068,0.0714
10/10/2024,2,86,15,0,0,0
10/10/2024,1,94,25,1,0.0106,0.04
10/10/2024,0,132,46,5,0.0379,0.1087
11/10/2024,23,184,47,2,0.0109,0.0426
11/10/2024,22,175,72,7,0.04,0.0972
11/10/2024,21,206,64,10,0.0485,0.1563
11/10/2024,20,234,110,6,0.0256,0.0545
11/10/2024,19,239,106,16,0.0669,0.1509
11/10/2024,18,256,111,19,0.0742,0.1712
11/10/2024,17,364,189,39,0.1071,0.2063
11/10/2024,16,421,221,42,0.0998,0.19
11/10/2024,15,494,279,61,0.1235,0.2186
11/10/2024,14,498,268,47,0.0944,0.1754
11/10/2024,13,477,252,46,0.0964,0.1825
11/10/2024,12,500,247,44,0.088,0.1781
11/10/2024,11,597,297,58,0.0972,0.1953
11/10/2024,10,463,257,43,0.0929,0.1673
11/10/2024,9,471,218,48,0.1019,0.2202
11/10/2024,8,335,138,20,0.0597,0.1449
11/10/2024,7,264,123,4,0.0152,0.0325
11/10/2024,6,156,69,4,0.0256,0.058
11/10/2024,5,99,25,2,0.0202,0.08
11/10/2024,4,108,26,2,0.0185,0.0769
11/10/2024,3,91,16,0,0,0
11/10/2024,2,142,11,0,0,0
11/10/2024,1,183,25,2,0.0109,0.08
11/10/2024,0,204,44,7,0.0343,0.1591
12/10/2024,23,131,38,1,0.0076,0.0263
12/10/2024,22,199,97,5,0.0251,0.0515
12/10/2024,21,215,82,4,0.0186,0.0488
12/10/2024,20,220,103,4,0.0182,0.0388
12/10/2024,19,244,104,11,0.0451,0.1058
12/10/2024,18,225,120,14,0.0622,0.1167
12/10/2024,17,1548,124,10,0.0065,0.0806
12/10/2024,16,717,127,17,0.0237,0.1339
12/10/2024,15,312,149,20,0.0641,0.1342
12/10/2024,14,359,179,14,0.039,0.0782
12/10/2024,13,384,154,12,0.0313,0.0779
12/10/2024,12,314,148,18,0.0573,0.1216
12/10/2024,11,327,162,19,0.0581,0.1173
12/10/2024,10,292,155,21,0.0719,0.1355
